Time (s),Signal (a.u.)
5.2,-0.045091148857637084
5.25,-0.19690902590890236
5.300000000000001,0.2707343116743567
5.3500000000000005,0.20138918749364135
5.4,0.488990632751811
5.45,0.5297943856945002
5.5,0.6310201150143031
5.550000000000001,0.8558740390957393
5.6000000000000005,0.8297796918473838
5.65,1.2317585863121607
5.7,1.000408722825204
5.75,1.087050649518809
5.800000000000001,1.4487046071713974
5.8500000000000005,1.375870177084515
5.9,1.5770541318948228
5.95,1.5843609055833647
6.0,2.0300824112568274
6.050000000000001,1.3502728034991698
6.1000000000000005,1.8768403033084688
6.15,2.4032765525911244
6.2,2.113301399426279
6.25,1.8513338805388198
6.300000000000001,2.157522939652496
6.3500000000000005,1.9817442097362719
6.4,2.657045226314713
6.45,2.4634637588009163
6.5,2.420520966443847
6.550000000000001,2.744874217812647
6.6000000000000005,2.2890021713457913
6.65,2.837051116909416
6.7,2.491408480257322
6.75,2.6538365374331634
6.800000000000001,2.6873662194678256
6.8500000000000005,2.6612513602604064
6.9,2.4316883784906653
6.95,2.535131681324625
7.0,2.673706284933382
7.050000000000001,2.4215577308525136
7.1000000000000005,2.908873900129631
7.15,2.697261535709154
7.2,2.239162582258901
7.25,2.3854651709164694
7.300000000000001,2.4662371302038375
7.3500000000000005,1.928122011442897
7.4,2.3513417455288605
7.45,1.936898035855911
7.5,1.893149266849946
7.550000000000001,1.9660457576662935
7.6000000000000005,2.03485080253712
7.65,1.6701350916865347
7.7,1.8067592578889409
7.75,2.20996816043174
7.800000000000001,1.526084046495469
7.8500000000000005,1.3477305965799942
7.9,1.3701567240710337
7.95,1.2972388094800973
8.0,1.5083479200199172
8.05,0.6397651858175373
8.1,0.665092660046932
8.15,0.7194781078310578
8.200000000000001,0.17497329415202034
8.25,0.41879230390089356
8.3,0.340144058221504
8.35,0.42197946385463597
8.4,0.11994377257877474
8.450000000000001,0.2645989071470182
8.5,-0.18787903891131236
8.55,0.010898517229332383
8.6,-0.16202926847330013
8.65,-0.3689409898117554
8.700000000000001,-0.5293090655836781
8.75,-0.891339164236012
8.8,-0.6035432708822898
8.85,-1.1781495138492168
8.9,-0.9294986847638523
8.950000000000001,-0.8987161700069655
9.0,-1.1617667919960921
9.05,-1.0343969143862863
9.1,-1.5013524479406974
9.15,-1.451784709614361
9.200000000000001,-1.8759881062569743
9.25,-1.7217544723388265
9.3,-1.908010365004925
9.35,-1.944291112056505
9.4,-1.8794878500908054
9.450000000000001,-1.9264388639380776
9.5,-1.7595768808463903
9.55,-1.9788284760092887
9.600000000000001,-2.0665698511025776
9.65,-1.9731813406832295
9.700000000000001,-1.9346717897314205
9.75,-1.9660105872649705
9.8,-2.050952642417215
9.850000000000001,-2.1029232449777195
9.9,-1.894181257034957
9.950000000000001,-1.9545336489939382
